="",="cog"
="11.provcd#1.age_group#c.eduy",="0.159"
="11.provcd#2.age_group#c.eduy",="0.182"
="11.provcd#3.age_group#c.eduy",="0.197"
="12.provcd#1.age_group#c.eduy",="0.0836"
="12.provcd#2.age_group#c.eduy",="0.185"
="12.provcd#3.age_group#c.eduy",="0.176"
="13.provcd#1.age_group#c.eduy",="0.0704"
="13.provcd#2.age_group#c.eduy",="0.134"
="13.provcd#3.age_group#c.eduy",="0.169"
="14.provcd#1.age_group#c.eduy",="0.0882"
="14.provcd#2.age_group#c.eduy",="0.125"
="14.provcd#3.age_group#c.eduy",="0.168"
="21.provcd#1.age_group#c.eduy",="0.0721"
="21.provcd#2.age_group#c.eduy",="0.134"
="21.provcd#3.age_group#c.eduy",="0.169"
="22.provcd#1.age_group#c.eduy",="0.0485"
="22.provcd#2.age_group#c.eduy",="0.120"
="22.provcd#3.age_group#c.eduy",="0.151"
="23.provcd#1.age_group#c.eduy",="0.0332"
="23.provcd#2.age_group#c.eduy",="0.129"
="23.provcd#3.age_group#c.eduy",="0.153"
="31.provcd#1.age_group#c.eduy",="0.171"
="31.provcd#2.age_group#c.eduy",="0.202"
="31.provcd#3.age_group#c.eduy",="0.195"
="32.provcd#1.age_group#c.eduy",="0.0730"
="32.provcd#2.age_group#c.eduy",="0.141"
="32.provcd#3.age_group#c.eduy",="0.181"
="33.provcd#1.age_group#c.eduy",="0.0353"
="33.provcd#2.age_group#c.eduy",="0.181"
="33.provcd#3.age_group#c.eduy",="0.206"
="34.provcd#1.age_group#c.eduy",="0.0822"
="34.provcd#2.age_group#c.eduy",="0.131"
="34.provcd#3.age_group#c.eduy",="0.151"
="35.provcd#1.age_group#c.eduy",="0.00499"
="35.provcd#2.age_group#c.eduy",="0.108"
="35.provcd#3.age_group#c.eduy",="0.165"
="36.provcd#1.age_group#c.eduy",="0.00372"
="36.provcd#2.age_group#c.eduy",="0.0965"
="36.provcd#3.age_group#c.eduy",="0.175"
="37.provcd#1.age_group#c.eduy",="0.116"
="37.provcd#2.age_group#c.eduy",="0.139"
="37.provcd#3.age_group#c.eduy",="0.142"
="41.provcd#1.age_group#c.eduy",="0.0238"
="41.provcd#2.age_group#c.eduy",="0.107"
="41.provcd#3.age_group#c.eduy",="0.156"
="42.provcd#1.age_group#c.eduy",="0.0190"
="42.provcd#2.age_group#c.eduy",="0.174"
="42.provcd#3.age_group#c.eduy",="0.181"
="43.provcd#1.age_group#c.eduy",="0.0694"
="43.provcd#2.age_group#c.eduy",="0.145"
="43.provcd#3.age_group#c.eduy",="0.183"
="44.provcd#1.age_group#c.eduy",="-0.00916"
="44.provcd#2.age_group#c.eduy",="0.0811"
="44.provcd#3.age_group#c.eduy",="0.119"
="45.provcd#1.age_group#c.eduy",="-0.0494"
="45.provcd#2.age_group#c.eduy",="0.0652"
="45.provcd#3.age_group#c.eduy",="0.124"
="50.provcd#1.age_group#c.eduy",="0.0138"
="50.provcd#2.age_group#c.eduy",="0.139"
="50.provcd#3.age_group#c.eduy",="0.172"
="51.provcd#1.age_group#c.eduy",="-0.0954"
="51.provcd#2.age_group#c.eduy",="0.0505"
="51.provcd#3.age_group#c.eduy",="0.135"
="52.provcd#1.age_group#c.eduy",="-0.0991"
="52.provcd#2.age_group#c.eduy",="0.0518"
="52.provcd#3.age_group#c.eduy",="0.0979"
="53.provcd#1.age_group#c.eduy",="0.0115"
="53.provcd#2.age_group#c.eduy",="0.0756"
="53.provcd#3.age_group#c.eduy",="0.134"
="61.provcd#1.age_group#c.eduy",="0.0988"
="61.provcd#2.age_group#c.eduy",="0.171"
="61.provcd#3.age_group#c.eduy",="0.172"
="62.provcd#1.age_group#c.eduy",="-0.00185"
="62.provcd#2.age_group#c.eduy",="0.0775"
="62.provcd#3.age_group#c.eduy",="0.140"
