="",="cog"
="11.provcd#1.age_group#c.eduy",="0.146"
="11.provcd#2.age_group#c.eduy",="0.135"
="11.provcd#3.age_group#c.eduy",="0.163"
="11.provcd#4.age_group#c.eduy",="0.170"
="12.provcd#1.age_group#c.eduy",="0.132"
="12.provcd#2.age_group#c.eduy",="0.150"
="12.provcd#3.age_group#c.eduy",="0.165"
="12.provcd#4.age_group#c.eduy",="0.160"
="13.provcd#1.age_group#c.eduy",="0.142"
="13.provcd#2.age_group#c.eduy",="0.151"
="13.provcd#3.age_group#c.eduy",="0.173"
="13.provcd#4.age_group#c.eduy",="0.147"
="14.provcd#1.age_group#c.eduy",="0.138"
="14.provcd#2.age_group#c.eduy",="0.138"
="14.provcd#3.age_group#c.eduy",="0.160"
="14.provcd#4.age_group#c.eduy",="0.151"
="21.provcd#1.age_group#c.eduy",="0.130"
="21.provcd#2.age_group#c.eduy",="0.143"
="21.provcd#3.age_group#c.eduy",="0.162"
="21.provcd#4.age_group#c.eduy",="0.148"
="22.provcd#1.age_group#c.eduy",="0.136"
="22.provcd#2.age_group#c.eduy",="0.146"
="22.provcd#3.age_group#c.eduy",="0.160"
="22.provcd#4.age_group#c.eduy",="0.143"
="23.provcd#1.age_group#c.eduy",="0.130"
="23.provcd#2.age_group#c.eduy",="0.139"
="23.provcd#3.age_group#c.eduy",="0.154"
="23.provcd#4.age_group#c.eduy",="0.137"
="31.provcd#1.age_group#c.eduy",="0.138"
="31.provcd#2.age_group#c.eduy",="0.141"
="31.provcd#3.age_group#c.eduy",="0.163"
="31.provcd#4.age_group#c.eduy",="0.156"
="32.provcd#1.age_group#c.eduy",="0.135"
="32.provcd#2.age_group#c.eduy",="0.147"
="32.provcd#3.age_group#c.eduy",="0.157"
="32.provcd#4.age_group#c.eduy",="0.132"
="33.provcd#1.age_group#c.eduy",="0.139"
="33.provcd#2.age_group#c.eduy",="0.146"
="33.provcd#3.age_group#c.eduy",="0.170"
="33.provcd#4.age_group#c.eduy",="0.150"
="34.provcd#1.age_group#c.eduy",="0.136"
="34.provcd#2.age_group#c.eduy",="0.144"
="34.provcd#3.age_group#c.eduy",="0.160"
="34.provcd#4.age_group#c.eduy",="0.147"
="35.provcd#1.age_group#c.eduy",="0.116"
="35.provcd#2.age_group#c.eduy",="0.148"
="35.provcd#3.age_group#c.eduy",="0.158"
="35.provcd#4.age_group#c.eduy",="0.121"
="36.provcd#1.age_group#c.eduy",="0.136"
="36.provcd#2.age_group#c.eduy",="0.136"
="36.provcd#3.age_group#c.eduy",="0.157"
="36.provcd#4.age_group#c.eduy",="0.146"
="37.provcd#1.age_group#c.eduy",="0.141"
="37.provcd#2.age_group#c.eduy",="0.149"
="37.provcd#3.age_group#c.eduy",="0.168"
="37.provcd#4.age_group#c.eduy",="0.150"
="41.provcd#1.age_group#c.eduy",="0.133"
="41.provcd#2.age_group#c.eduy",="0.140"
="41.provcd#3.age_group#c.eduy",="0.158"
="41.provcd#4.age_group#c.eduy",="0.140"
="42.provcd#1.age_group#c.eduy",="0.135"
="42.provcd#2.age_group#c.eduy",="0.137"
="42.provcd#3.age_group#c.eduy",="0.158"
="42.provcd#4.age_group#c.eduy",="0.146"
="43.provcd#1.age_group#c.eduy",="0.140"
="43.provcd#2.age_group#c.eduy",="0.147"
="43.provcd#3.age_group#c.eduy",="0.170"
="43.provcd#4.age_group#c.eduy",="0.158"
="44.provcd#1.age_group#c.eduy",="0.132"
="44.provcd#2.age_group#c.eduy",="0.141"
="44.provcd#3.age_group#c.eduy",="0.144"
="44.provcd#4.age_group#c.eduy",="0.137"
="45.provcd#1.age_group#c.eduy",="0.123"
="45.provcd#2.age_group#c.eduy",="0.138"
="45.provcd#3.age_group#c.eduy",="0.145"
="45.provcd#4.age_group#c.eduy",="0.132"
="50.provcd#1.age_group#c.eduy",="0.143"
="50.provcd#2.age_group#c.eduy",="0.153"
="50.provcd#3.age_group#c.eduy",="0.153"
="50.provcd#4.age_group#c.eduy",="0.133"
="51.provcd#1.age_group#c.eduy",="0.130"
="51.provcd#2.age_group#c.eduy",="0.142"
="51.provcd#3.age_group#c.eduy",="0.160"
="51.provcd#4.age_group#c.eduy",="0.133"
="52.provcd#1.age_group#c.eduy",="0.125"
="52.provcd#2.age_group#c.eduy",="0.126"
="52.provcd#3.age_group#c.eduy",="0.139"
="52.provcd#4.age_group#c.eduy",="0.123"
="53.provcd#1.age_group#c.eduy",="0.123"
="53.provcd#2.age_group#c.eduy",="0.134"
="53.provcd#3.age_group#c.eduy",="0.138"
="53.provcd#4.age_group#c.eduy",="0.115"
="61.provcd#1.age_group#c.eduy",="0.133"
="61.provcd#2.age_group#c.eduy",="0.134"
="61.provcd#3.age_group#c.eduy",="0.152"
="61.provcd#4.age_group#c.eduy",="0.140"
="62.provcd#1.age_group#c.eduy",="0.137"
="62.provcd#2.age_group#c.eduy",="0.138"
="62.provcd#3.age_group#c.eduy",="0.157"
="62.provcd#4.age_group#c.eduy",="0.145"
="N",="90767"
