="",="(1)",=""
="",="",=""
="",="b",="pct"
="11",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="12",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="13",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="14",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="15",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="21",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="22",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="23",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="31",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="32",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="33",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="34",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="35",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="36",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="37",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="41",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="42",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="43",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="44",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="45",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="46",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="50",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="51",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="52",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="53",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="54",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="61",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="62",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="63",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="64",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="65",="",=""
="2010",="1",=".5376344"
="2012",="1",=".5376344"
="2014",="1",=".5376344"
="2016",="1",=".5376344"
="2018",="1",=".5376344"
="2020",="1",=".5376344"
="Total",="6",="3.225806"
="Total",="",=""
="2010",="31",="16.66667"
="2012",="31",="16.66667"
="2014",="31",="16.66667"
="2016",="31",="16.66667"
="2018",="31",="16.66667"
="2020",="31",="16.66667"
="Total",="186",="100"
="N",="186",=""
