="Panel Regression Results"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="lny",="lny",="lny",="lny",="lny",="lny"
="",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p",="b/se/p"
="a_peduy0",="0.119",="0.117",="0.132",="0.129",="0.132",="0.129"
="",="0.020",="0.022",="0.024",="0.025",="0.024",="0.025"
="",="0.000***",="0.000***",="0.000***",="0.000***",="0.000***",="0.000***"
="K",="0.000",="0.000",="-0.000",="0.000",="-0.000",="0.000"
="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="0.653",="0.529",="0.884",="0.861",="0.884",="0.861"
="pcog0",="",="",="0.002",="0.001",="0.002",="0.001"
="",="",="",="0.007",="0.008",="0.007",="0.008"
="",="",="",="0.748",="0.885",="0.748",="0.885"
="_cons",="8.390",="8.408",="8.285",="8.295",="8.285",="8.295"
="",="0.192",="0.219",="0.223",="0.247",="0.223",="0.247"
="",="0.000***",="0.000***",="0.000***",="0.000***",="0.000***",="0.000***"
="N",="150.000",="150.000",="141.000",="141.000",="141.000",="141.000"
="ar2",="",="",="",="",="",=""
