="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="fe0",="re0",="fe1",="re1",="fe2",="re2",="fe3",="re3"
="peduy0",="0.112***",="0.125***",="0.103***",="0.108***",="",="",="",=""
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="",="",=""
="wpop",="0.119***",="0.240***",="0.096**",="0.185***",="0.112***",="0.200***",="0.101**",="0.205***"
="",="(0.000)",="(0.000)",="(0.002)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)"
="high_cog_rt",="",="",="0.123",="0.130",="",="",="0.150*",="0.145*"
="",="",="",="(0.063)",="(0.067)",="",="",="(0.025)",="(0.039)"
="a_peduy0",="",="",="",="",="0.139***",="0.151***",="0.133***",="0.143***"
="",="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="_cons",="7.709***",="7.195***",="8.097***",="7.694***",="7.782***",="7.329***",="7.815***",="7.315***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="adj. R-sq",="0.524",="",="0.464",="",="0.461",="",="0.452",=""
="N",="186",="186",="141",="141",="150",="150",="141",="141"
="p-values in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
