="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="fe0",="re0",="fe1",="re1",="fe2",="re2",="fe3",="re3"
="peduy0",="0.125***",="0.140***",="0.113***",="0.114***",="",="",="",=""
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="",="",=""
="wpop",="0.115***",="0.247***",="0.094**",="0.192***",="0.113***",="0.200***",="0.102**",="0.206***"
="",="(0.000)",="(0.000)",="(0.002)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)"
="K",="-0.001",="-0.002",="-0.001",="-0.000",="0.001",="0.001",="0.000",="0.000"
="",="(0.174)",="(0.197)",="(0.514)",="(0.729)",="(0.489)",="(0.556)",="(0.785)",="(0.788)"
="high_cog_rt",="",="",="0.120",="0.129",="",="",="0.150*",="0.146*"
="",="",="",="(0.073)",="(0.075)",="",="",="(0.025)",="(0.039)"
="a_peduy0",="",="",="",="",="0.128***",="0.143***",="0.128***",="0.139***"
="",="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="_cons",="7.601***",="7.024***",="8.011***",="7.608***",="7.879***",="7.404***",="7.857***",="7.351***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="adj. R-sq",="0.527",="",="0.461",="",="0.459",="",="0.447",=""
="N",="186",="186",="141",="141",="150",="150",="141",="141"
="p-values in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
