="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="fe0",="re0",="fe1",="re1",="fe2",="re2",="fe3",="re3"
="peduy0",="0.125***",="0.140***",="0.121***",="0.122***",="",="",="",=""
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="",="",=""
="wpop",="0.115***",="0.247***",="0.095**",="0.193***",="0.113***",="0.200***",="0.107***",="0.208***"
="",="(0.000)",="(0.000)",="(0.002)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.000)"
="K",="-0.001",="-0.002",="-0.001",="-0.001",="0.001",="0.001",="0.000",="-0.000"
="",="(0.174)",="(0.197)",="(0.451)",="(0.619)",="(0.489)",="(0.556)",="(0.946)",="(0.991)"
="pcog0",="",="",="-0.001",="-0.001",="",="",="0.004",="0.004"
="",="",="",="(0.840)",="(0.926)",="",="",="(0.561)",="(0.593)"
="a_peduy0",="",="",="",="",="0.128***",="0.143***",="0.131***",="0.144***"
="",="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="_cons",="7.601***",="7.024***",="7.987***",="7.588***",="7.879***",="7.404***",="7.888***",="7.374***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="adj. R-sq",="0.527",="",="0.446",="",="0.459",="",="0.424",=""
="N",="186",="186",="141",="141",="150",="150",="141",="141"
="p-values in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
